timestamp, cpu_power_uW, io_power_uW
1503442716.174876154, 2437000, 5468000
1503442716.453933593, 2437000, 5468000
1503442716.731631713, 2437000, 5468000
1503442717.006552454, 2437000, 5468000
1503442717.282647452, 2437000, 5468000
1503442717.563720919, 2437000, 5218000
1503442717.847327000, 2437000, 5218000
1503442718.122279442, 2437000, 5468000
1503442718.396619996, 2437000, 5468000
1503442718.671513437, 2437000, 5468000
1503442718.945072040, 2437000, 5468000
1503442719.219465214, 2437000, 5468000
1503442719.494753381, 2437000, 5468000
1503442719.769166816, 2437000, 5468000
1503442720.042207572, 2437000, 5468000
1503442720.316906490, 2437000, 5468000
1503442720.590294791, 2437000, 5218000
1503442720.864659345, 2437000, 5218000
1503442721.140335317, 2437000, 5468000
1503442721.414501609, 2437000, 5468000
1503442721.688447497, 2437000, 5468000
1503442721.962190902, 2437000, 5468000
1503442722.235432381, 2437000, 5218000
1503442722.510460844, 2437000, 5218000
1503442722.784740777, 2437000, 5218000
1503442723.057836014, 2437000, 5218000
1503442723.334490719, 2437000, 5218000
1503442723.618445625, 2437000, 5468000
1503442723.892764839, 2437000, 5468000
1503442724.168397330, 2437000, 5218000
1503442724.441280184, 2437000, 5218000
1503442724.716107165, 2437000, 5218000
1503442724.993802305, 2437000, 5218000
1503442725.270482430, 2437000, 5468000
1503442725.557369437, 2437000, 5468000
1503442725.841078299, 2437000, 5468000
1503442726.114651423, 2437000, 5468000
1503442726.389702226, 2437000, 5468000
1503442726.664209262, 2437000, 5468000
1503442726.942002424, 2437000, 5468000
1503442727.216221396, 2437000, 5218000
1503442727.501643122, 2437000, 5468000
1503442727.779800288, 2437000, 5468000
1503442728.055426380, 2437000, 5468000
1503442728.334027512, 2437000, 5218000
1503442728.611070263, 2437000, 5218000
1503442728.885783102, 2437000, 5218000
1503442729.161574316, 2437000, 5468000
1503442729.438886330, 2437000, 5468000
1503442729.725122788, 2437000, 5468000
1503442730.006594180, 2437000, 5468000
1503442730.280426366, 2437000, 5468000
1503442730.558108466, 2437000, 5468000
1503442730.836307233, 2437000, 5468000
1503442731.115023387, 2437000, 5468000
1503442731.388999756, 2437000, 5468000
1503442731.664595987, 2437000, 5468000
1503442731.939686291, 2437000, 5468000
1503442732.216018212, 2437000, 5468000
1503442732.492917861, 2437000, 5703000
1503442732.769549487, 2437000, 5703000
1503442733.053749536, 2437000, 5703000
1503442733.342418327, 2437000, 5703000
1503442733.626882240, 2437000, 5468000
1503442733.904298256, 2437000, 5468000
1503442734.176422580, 2437000, 6406000
1503442734.449665398, 2437000, 6406000
1503442734.724663481, 2437000, 6406000
1503442735.001135484, 2437000, 5468000
1503442735.279589035, 2437000, 5468000
1503442735.557443637, 2437000, 5468000
1503442735.832407919, 2437000, 5468000
1503442736.110115199, 2437000, 5468000
1503442736.386891787, 2437000, 5468000
1503442736.662729341, 2437000, 5468000
1503442736.939286746, 2437000, 5468000
1503442737.214935137, 2437000, 5468000
1503442737.488371039, 2437000, 5468000
1503442737.764184413, 2437000, 5468000
1503442738.042157677, 2437000, 5468000
1503442738.317949711, 2437000, 5468000
1503442738.595492468, 2437000, 5468000
1503442738.870953938, 2437000, 5468000
1503442739.148693938, 2437000, 5468000
1503442739.423984985, 2437000, 5468000
